Pos X,Pos Y,Pos Z,Ori X,Ori Y,Ori Z,Pos W
0.510792,-0.25775,0,0,0,0.0249804,0.999688
0.519066,-0.257785,0,0,0,-0.0218593,0.999761
0.527608,-0.258531,0,0,0,-0.0593065,0.99824
0.548685,-0.260539,0,0,0,-0.104748,0.994499
0.56159,-0.264048,0,0,0,-0.151622,0.988439
0.568958,-0.270505,0,0,0,-0.235713,0.971823
0.579785,-0.281034,0,0,0,-0.290226,0.956958
0.593284,-0.290152,0,0,0,-0.338656,0.94091
0.597495,-0.298078,0,0,0,-0.39033,0.920675
0.60968,-0.3133,0,0,0,-0.435777,0.900055
0.621804,-0.326158,0,0,0,-0.469784,0.882782
0.631089,-0.340041,0,0,0,-0.495616,0.868542
0.636544,-0.359741,0,0,0,-0.508579,0.861015
0.648263,-0.381981,0,0,0,-0.525232,0.850959
0.661368,-0.40985,0,0,0,-0.543085,0.839678
0.679179,-0.457468,0,0,0,-0.567733,0.823213
0.689879,-0.488028,0,0,0,-0.585973,0.810331
0.700444,-0.522646,0,0,0,-0.600897,0.799326
0.707341,-0.552657,0,0,0,-0.610616,0.791927
0.715629,-0.585131,0,0,0,-0.61451,0.788909
0.724951,-0.622356,0,0,0,-0.615361,0.788245
0.729978,-0.653564,0,0,0,-0.620694,0.784053
0.7373,-0.684747,0,0,0,-0.624819,0.780769
0.744761,-0.718328,0,0,0,-0.63079,0.775954
0.750436,-0.746147,0,0,0,-0.639902,0.768457
0.755876,-0.772696,0,0,0,-0.651725,0.758455
0.760104,-0.801377,0,0,0,-0.662937,0.748675
0.766051,-0.855051,0,0,0,-0.670389,0.742009
0.769312,-0.887868,0,0,0,-0.671844,0.740693
0.776318,-0.917759,0,0,0,-0.673783,0.73893
0.779005,-0.948202,0,0,0,-0.676152,0.736762
0.782003,-0.984347,0,0,0,-0.677795,0.735251
0.784681,-1.01865,0,0,0,-0.679988,0.733223
0.80605,-1.06243,0,0,0,-0.679965,0.733245
0.808982,-1.10488,0,0,0,-0.684007,0.729476
0.811241,-1.14432,0,0,0,-0.688787,0.724963
0.819034,-1.1871,0,0,0,-0.696922,0.717147
0.82006,-1.23403,0,0,0,-0.701588,0.712583
0.829427,-1.28832,0,0,0,-0.706572,0.707642
0.829469,-1.33171,0,0,0,-0.709243,0.704964
0.829178,-1.38142,0,0,0,-0.70718,0.707034
0.84305,-1.43571,0,0,0,-0.698945,0.715176
0.844101,-1.48156,0,0,0,-0.691364,0.722506
0.84653,-1.53324,0,0,0,-0.686559,0.727074
0.857934,-1.58403,0,0,0,-0.681612,0.731713
0.864628,-1.68371,0,0,0,-0.685043,0.728502
0.867299,-1.7305,0,0,0,-0.687728,0.725969
0.870167,-1.79209,0,0,0,-0.693873,0.720098
0.871648,-1.84599,0,0,0,-0.699875,0.714265
0.872135,-1.89473,0,0,0,-0.705908,0.708303
0.877341,-1.95381,0,0,0,-0.707616,0.706597
0.876852,-2.00604,0,0,0,-0.71124,0.702949
0.87613,-2.05108,0,0,0,-0.713651,0.700501
0.87774,-2.10201,0,0,0,-0.711712,0.702471
0.877071,-2.15341,0,0,0,-0.711336,0.702852
0.881531,-2.21197,0,0,0,-0.708824,0.705385
0.881295,-2.26286,0,0,0,-0.706804,0.70741
0.881401,-2.3217,0,0,0,-0.704927,0.709279
0.888894,-2.38547,0,0,0,-0.703359,0.710835
0.88945,-2.43569,0,0,0,-0.702778,0.711409
0.89101,-2.53749,0,0,0,-0.701543,0.712627
0.894144,-2.58259,0,0,0,-0.701098,0.713065
0.894578,-2.63361,0,0,0,-0.706144,0.708068
0.894185,-2.67872,0,0,0,-0.712931,0.701234
0.891946,-2.72069,0,0,0,-0.719823,0.694158
0.889833,-2.77048,0,0,0,-0.722626,0.691239
0.888083,-2.81217,0,0,0,-0.720126,0.693843
0.888692,-2.84925,0,0,0,-0.710446,0.703752
0.889089,-2.89206,0,0,0,-0.697052,0.717021
0.891214,-2.92823,0,0,0,-0.675003,0.737815
0.902852,-2.95868,0,0,0,-0.622433,0.782673
0.912094,-2.99544,0,0,0,-0.59027,0.807206
0.925446,-3.02539,0,0,0,-0.556722,0.830699
0.937897,-3.0557,0,0,0,-0.528136,0.84916
0.955631,-3.09467,0,0,0,-0.499491,0.866319
0.972062,-3.12235,0,0,0,-0.46943,0.88297
1.01608,-3.18063,0,0,0,-0.422059,0.906568
1.03841,-3.20466,0,0,0,-0.385898,0.922541
1.06438,-3.22695,0,0,0,-0.346386,0.938092
1.09411,-3.24515,0,0,0,-0.297069,0.954856
1.11721,-3.25114,0,0,0,-0.245963,0.969279
1.14398,-3.26367,0,0,0,-0.201011,0.979589
1.18147,-3.27181,0,0,0,-0.159963,0.987123
1.21523,-3.28146,0,0,0,-0.126306,0.991991
1.2533,-3.28784,0,0,0,-0.0933887,0.99563
1.29992,-3.295,0,0,0,-0.0692515,0.997599
1.3049,-3.29617,0,0,0,-0.0561681,0.998421
1.34979,-3.30086,0,0,0,-0.03579,0.999359
1.39844,-3.30433,0,0,0,-0.0172629,0.999851
1.4518,-3.30136,0,0,0,-0.00228111,0.999997
1.50518,-3.30134,0,0,0,0.012868,0.999917
1.55976,-3.29973,0,0,0,0.0230306,0.999735
1.61729,-3.29984,0,0,0,0.0229998,0.999735
1.72697,-3.29419,0,0,0,0.0254459,0.999676
1.78797,-3.29111,0,0,0,0.0253116,0.99968
1.84344,-3.28975,0,0,0,0.0188299,0.999823
1.89666,-3.28778,0,0,0,0.0183389,0.999832
1.95606,-3.28562,0,0,0,0.0178098,0.999841
2.02142,-3.28671,0,0,0,0.0149411,0.999888
2.07153,-3.28531,0,0,0,0.0134843,0.999909
2.12567,-3.28386,0,0,0,0.0132454,0.999912
2.17668,-3.28181,0,0,0,0.0116325,0.999932
2.22354,-3.2809,0,0,0,0.00602268,0.999982
2.27233,-3.28136,0,0,0,0.00668359,0.999978
2.32051,-3.28071,0,0,0,0.00679022,0.999977
2.36655,-3.28009,0,0,0,0.00944755,0.999955
2.40481,-3.27678,0,0,0,0.0104515,0.999945
2.48828,-3.27399,0,0,0,0.0228919,0.999738
2.53453,-3.2714,0,0,0,0.0314053,0.999507
2.58423,-3.26269,0,0,0,0.0486764,0.998815
2.62428,-3.25813,0,0,0,0.0619669,0.998078
2.66683,-3.2521,0,0,0,0.0757793,0.997125
2.70851,-3.24469,0,0,0,0.0912277,0.99583
2.74147,-3.23766,0,0,0,0.115157,0.993347
2.77565,-3.22799,0,0,0,0.145397,0.989373
2.80491,-3.21361,0,0,0,0.180013,0.983664
2.83199,-3.20216,0,0,0,0.212803,0.977095
2.86226,-3.18555,0,0,0,0.247262,0.968949
2.88565,-3.17121,0,0,0,0.282451,0.959282
2.89063,-3.17263,0,0,0,0.303269,0.952905
2.91169,-3.15759,0,0,0,0.345091,0.938569
2.93581,-3.13493,0,0,0,0.390548,0.920583
2.95172,-3.11798,0,0,0,0.436654,0.899629
2.96669,-3.09512,0,0,0,0.493358,0.869826
